trial;score
lukr_rest_prone_3_shot_03;9
lukr_rest_prone_3_shot_04;10
lukr_rest_prone_3_shot_05;8
lukr_rest_standing_1_shot_01;3
lukr_rest_standing_1_shot_02;6
lukr_rest_standing_1_shot_03;9
lukr_rest_standing_1_shot_04;0
lukr_rest_standing_1_shot_05;8
lukr_rest_standing_2_shot_01;3
lukr_rest_standing_2_shot_02;8
lukr_rest_standing_2_shot_03;8
lukr_rest_standing_2_shot_04;8
lukr_rest_standing_2_shot_05;8
lukr_rest_standing_3_shot_01;4
lukr_rest_standing_3_shot_02;7
lukr_rest_standing_3_shot_03;7
lukr_rest_standing_3_shot_04;6
lukr_rest_standing_3_shot_05;6
lukr_load_prone_1_shot_01;10
lukr_load_prone_1_shot_02;10
lukr_load_prone_1_shot_03;8
lukr_load_prone_1_shot_04;10
lukr_load_prone_1_shot_05;9
lukr_load_prone_2_shot_01;10
lukr_load_prone_2_shot_02;8
lukr_load_prone_2_shot_03;9
lukr_load_prone_2_shot_04;9
lukr_load_prone_2_shot_05;9
lukr_load_standing_1_shot_01;5
lukr_load_standing_1_shot_02;6
lukr_load_standing_1_shot_03;0
lukr_load_standing_1_shot_04;3
lukr_load_standing_1_shot_05;3
lukr_load_standing_2_shot_01;3
lukr_load_standing_2_shot_02;7
lukr_load_standing_2_shot_03;0
lukr_load_standing_2_shot_04;2
lukr_load_standing_2_shot_05;3
maeb_rest_prone_1_shot_01;8
maeb_rest_prone_1_shot_02;8
maeb_rest_prone_1_shot_03;8
maeb_rest_prone_1_shot_04;8
maeb_rest_prone_1_shot_05;7
maeb_rest_prone_2_shot_01;10
maeb_rest_prone_2_shot_02;9
maeb_rest_prone_2_shot_03;8
maeb_rest_prone_2_shot_04;9
maeb_rest_prone_2_shot_05;9
maeb_rest_prone_3_shot_01;8
maeb_rest_prone_3_shot_02;9
maeb_rest_prone_3_shot_03;9
maeb_rest_prone_3_shot_04;8
maeb_rest_prone_3_shot_05;8
maeb_rest_standing_1_shot_01;6
maeb_rest_standing_1_shot_02;0
maeb_rest_standing_1_shot_03;4
maeb_rest_standing_1_shot_04;4
maeb_rest_standing_1_shot_05;7
maeb_rest_standing_2_shot_01;7
maeb_rest_standing_2_shot_02;9
maeb_rest_standing_2_shot_03;0
maeb_rest_standing_2_shot_04;5
maeb_rest_standing_2_shot_05;5
maeb_rest_standing_3_shot_01;6
maeb_rest_standing_3_shot_02;0
maeb_rest_standing_3_shot_03;6
maeb_rest_standing_3_shot_04;6
maeb_rest_standing_3_shot_05;0
maeb_load_prone_1_shot_01;5
maeb_load_prone_1_shot_02;8
maeb_load_prone_1_shot_03;8
maeb_load_prone_1_shot_04;8
maeb_load_prone_1_shot_05;8
maeb_load_prone_2_shot_01;7
maeb_load_prone_2_shot_02;9
maeb_load_prone_2_shot_03;9
maeb_load_prone_2_shot_04;10
maeb_load_prone_2_shot_05;7
maeb_load_standing_1_shot_01;7
maeb_load_standing_1_shot_02;3
maeb_load_standing_1_shot_03;5
maeb_load_standing_1_shot_04;10
maeb_load_standing_1_shot_05;0
maeb_load_standing_2_shot_01;5
maeb_load_standing_2_shot_02;4
maeb_load_standing_2_shot_03;9
maeb_load_standing_2_shot_04;0
maeb_load_standing_2_shot_05;5
maor_rest_prone_1_shot_01;10
maor_rest_prone_1_shot_02;9
maor_rest_prone_1_shot_03;9
maor_rest_prone_1_shot_04;10
